City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
438,Grand-Santi,GF,76.84,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
449,Nchelenge,ZM,77.23,broken clouds,-9.3451,28.734,KD Travellers Home
450,Kilindoni,TZ,77.16,broken clouds,-7.9139,39.6668,Bustani B&B
457,Tete,MZ,84.42,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
459,Cap Malheureux,MU,77.49,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
462,Yarada,IN,88.12,broken clouds,17.65,83.2667,Jeevan
463,Sernur,RU,75.76,broken clouds,56.9333,49.1536,Gostinnitsa Podvor'ye
465,Kalabo,ZM,80.17,scattered clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
467,Spring Hill,US,81.82,overcast clouds,28.4769,-82.5255,Room of The world By traveline Plus
468,Morant Bay,JM,82.02,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
470,Bubaque,GW,79.66,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
471,Libreville,GA,87.82,scattered clouds,0.3925,9.4537,Hotel Re-Ndama
474,Saint-Georges,GD,80.28,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
476,Cayenne,GF,85.08,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
478,Tripoli,LY,79.75,clear sky,32.8752,13.1875,Hotel Al-Safwa
480,Camocim,BR,80.96,broken clouds,-2.9022,-40.8411,Hotel Ilha do Amor
483,Elista,RU,79.32,few clouds,46.3078,44.2558,Otel' Gorod Shakhmat
485,Umm Lajj,SA,86.52,clear sky,25.0213,37.2685,Moon light Furnished Units
486,Loanda,AO,84.2,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
489,Kushmurun,KZ,84.38,broken clouds,52.4503,64.6311,Gostinitsa Pri Depo
493,Robertsport,LR,82.13,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
497,Haywards Heath,GB,82.18,few clouds,50.9977,-0.1031,The Birch Hotel
499,Bondoukou,CI,85.98,broken clouds,8.0333,-2.8,Prestige Hotel
500,Kisangani,CD,79.16,overcast clouds,0.5167,25.2,Grand Ramela Hotel
501,Tarumovka,RU,86.36,clear sky,44.0761,46.5361,Tts Europe
503,Ailigandi,PA,77.45,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
505,Grand Gaube,MU,77.4,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
507,Bom Jesus,BR,83.91,scattered clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
512,Bengkulu,ID,79.2,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
514,Weligama,LK,81.91,overcast clouds,5.9667,80.4167,Weligama Bay Resort
515,Puerto Plata,DO,81.16,few clouds,19.7934,-70.6884,Tropical Junior Suite All-Incl Resort Puerto Plata
516,Kaoma,ZM,80.49,broken clouds,-14.7833,24.8,KAOMA AIRPORT
520,Varnavino,RU,75.92,overcast clouds,57.4035,45.0916,Sibles PG Inn
522,Lubao,PH,85.14,overcast clouds,14.9167,120.55,Hacienda Gracia
524,Nouakchott,MR,85.93,scattered clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
525,Zuwarah,LY,80.71,clear sky,32.9312,12.082,يوسف
528,Asilah,MA,76.86,overcast clouds,35.465,-6.0348,Hotel Zelis
529,Houma,US,75.99,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
530,Morondava,MG,77.81,clear sky,-20.2833,44.2833,La Case Bambou
531,Requena,ES,88.0,clear sky,39.4883,-1.1004,Hotel Avenida
538,Locri,IT,84.11,clear sky,38.2414,16.2623,Grand Hotel President
540,Guane,CU,78.26,overcast clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
541,Igrim,RU,81.79,broken clouds,63.1906,64.4162,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
542,Bonthe,SL,82.87,light rain,7.5264,-12.505,Bonthe Holiday Village
547,Porto Novo,BJ,87.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
549,Tabou,CI,81.97,light rain,4.423,-7.3528,hotêl doufoulougou
551,Mana,GF,79.84,broken clouds,5.6592,-53.7767,LE SAMANA
552,Porbandar,IN,88.38,few clouds,21.6422,69.6093,Lords Inn Porbandar
555,Sankt Veit,DE,76.41,clear sky,49.1,10.95,Hotel und Landgasthof Sonnenhof
558,Malkangiri,IN,79.16,overcast clouds,18.35,81.9,Girls' Hostel
559,Chipoka,MW,76.17,scattered clouds,-13.9933,34.5157,The Cichlids Lodge
560,Menongue,AO,78.24,scattered clouds,-14.6585,17.691,Ritz Lauca
562,Malanje,AO,79.18,broken clouds,-9.5402,16.341,Malanje Hotel
565,Sharanga,RU,76.32,scattered clouds,57.1775,46.5396,Yuronga
567,Kremenki,RU,79.7,scattered clouds,54.885,37.1261,Country house Troitskoe 114
569,Marfino,RU,80.55,clear sky,55.7028,37.3822,Nemchinovka-Park
573,Vila Do Maio,CV,81.39,broken clouds,15.1333,-23.2167,Hotel Marilu
575,Igunga,TZ,87.1,overcast clouds,-4.2833,33.8833,Victoria Lodge
577,Padang,ID,77.05,light rain,-0.9492,100.3543,Mercure Padang
582,Callaway,US,77.92,clear sky,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
588,Puerto Carreno,CO,77.07,broken clouds,6.189,-67.4859,Casa Hotel Victoria
594,Strezhevoy,RU,82.38,broken clouds,60.7333,77.5889,Sibiryachka
595,Inhambane,MZ,75.88,clear sky,-23.865,35.3833,Oceano
597,Uvat,RU,84.13,overcast clouds,59.1433,68.8953,Uvatskiy Rayonnyy Dom Kul'tury
598,Vieux-Habitants,GP,81.97,overcast clouds,16.0589,-61.7659,Gîtes Dardanelle
599,Dareda,TZ,77.09,overcast clouds,-4.2167,35.55,Bondeni Guest House
602,Bensonville,LR,76.55,light rain,6.4461,-10.6125,Moinga
604,Inongo,CD,77.5,overcast clouds,-1.95,18.2667,Hotel Du Lac
609,Saint-Joseph,RE,77.38,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
612,Correntina,BR,76.37,scattered clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
615,Haftoni,AZ,88.59,scattered clouds,38.7632,48.7622,Lankaran Springs Wellness Resort
618,Le Port,RE,78.8,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
619,Parrita,CR,78.57,overcast clouds,9.5201,-84.3225,Beso del Viento
622,Angoche,MZ,78.22,scattered clouds,-16.2325,39.9086,Guest House HESADA
623,Lucapa,AO,89.67,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
626,Golden Gate,US,81.99,overcast clouds,26.1879,-81.6951,Quality Inn & Suites Golf Resort
629,Rotterdam,NL,83.89,clear sky,51.9225,4.4792,Hotel NH Atlanta Rotterdam
633,Dwarka,IN,87.73,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
634,Muhororo,UG,78.15,overcast clouds,0.9381,30.7594,Muhorro Executive Hotel
638,Mahajanga,MG,86.02,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
639,Immokalee,US,81.91,overcast clouds,26.4187,-81.4173,Seminole Casino Hotel Immokalee
640,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
643,La Asuncion,VE,85.73,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
644,Nagua,DO,81.45,few clouds,19.3832,-69.8474,Hotel Cambri
646,Isla Mujeres,MX,77.16,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
649,Bela,IN,78.73,heavy intensity rain,25.9333,81.9833,Raj Bhawan
650,Tukrah,LY,77.92,clear sky,32.5341,20.5791,Lokta restaurant
653,Saint-Francois,FR,85.68,clear sky,46.4154,3.9054,Manoir Du Bonheur
