City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
234,Ferme-Neuve,CA,46.7001,-75.4493,56.98,97,86,3.29,overcast clouds
235,Adrar,MR,20.5022,-10.0711,107.51,7,49,22.37,scattered clouds
236,Mulchen,CL,-37.7167,-72.2333,38.95,87,75,7.74,broken clouds
237,Clonakilty,IE,51.6231,-8.8706,67.08,68,100,6.96,overcast clouds
238,Aksarayskiy,RU,46.7924,48.0119,82.35,60,100,15.55,overcast clouds
239,Shahr-E Babak,IR,30.1165,55.1186,97.59,6,0,7.61,clear sky
240,Bayburt,TR,40.2589,40.2278,76.73,23,1,19.26,clear sky
241,Saquarema,BR,-22.92,-42.5103,68.04,63,49,1.57,scattered clouds
242,Vardo,NO,70.3705,31.1107,51.55,87,75,6.91,broken clouds
243,Stromness,GB,58.965,-3.296,57.45,83,67,28.77,broken clouds
244,Tonj,SS,7.2737,28.6822,84.88,55,95,1.86,overcast clouds
245,Maraa,BR,-1.8333,-65.3667,72.9,97,83,0.67,broken clouds
246,Vagur,FO,61.4732,-6.8119,47.3,91,43,21.92,scattered clouds
247,Itarema,BR,-2.9248,-39.9167,81.77,73,64,14.05,broken clouds
248,Bahia Honda,CU,22.9036,-83.1592,76.6,85,100,2.73,overcast clouds
249,Imbituva,BR,-25.23,-50.6044,50.95,75,4,2.66,clear sky
250,Hobyo,SO,5.3505,48.5268,82.65,67,100,28.95,overcast clouds
251,Rocha,UY,-34.4833,-54.3333,54.23,80,37,5.41,scattered clouds
252,Mattawa,US,46.7379,-119.9028,65.1,67,68,8.01,broken clouds
253,Muyezerskiy,RU,63.9333,31.65,64.92,41,99,14.45,overcast clouds
254,Codrington,AU,-38.2667,141.9667,48.67,79,100,7.36,overcast clouds
255,Saint-Ambroise,CA,48.5501,-71.3324,58.59,51,75,5.75,light rain
256,Hohr-Grenzhausen,DE,50.4333,7.6667,82.44,45,7,3.09,clear sky
257,Balkanabat,TM,39.5108,54.3671,93.74,32,0,13.24,clear sky
258,Dulce Nombre De Culmi,HN,15.1,-85.5333,79.03,98,97,0.51,overcast clouds
259,Bronnoysund,NO,65.4625,12.1997,55.4,82,40,14.97,scattered clouds
260,Ponta Delgada,PT,37.7333,-25.6667,72.32,68,20,8.05,few clouds
261,Bereda,ES,43.2686,-7.5406,81.14,60,13,4.38,few clouds
262,Mahon,ES,39.8885,4.2658,82.96,57,20,10.36,few clouds
263,Rio Grande,BR,-32.035,-52.0986,57.29,74,0,5.55,clear sky
264,Chilca,PE,-12.5211,-76.7372,62.76,87,19,3.53,few clouds
265,Murillo,CO,4.8739,-75.1715,45.09,93,81,1.1,light rain
266,Gadsden,US,34.0143,-86.0066,74.68,99,1,6.91,mist
267,Gunjur,GM,13.2019,-16.7339,82.47,74,75,5.75,broken clouds
268,Sargatskoye,RU,55.6101,73.4972,79.88,47,71,4.34,broken clouds
269,Illela,NG,13.7292,5.2975,104.4,20,1,3.96,clear sky
270,Praia,CV,14.9215,-23.5087,81.14,61,75,11.5,broken clouds
271,Algiers,DZ,36.7525,3.042,80.42,61,75,9.22,broken clouds
272,Terrace Bay,CA,48.7834,-87.1,47.82,96,78,2.13,broken clouds
273,Kanniyakumari,IN,8.0833,77.5667,82.31,74,100,22.64,overcast clouds
274,Krasnotorka,UA,48.682,37.5327,79.21,48,95,2.91,overcast clouds
275,Margate,GB,51.3813,1.3862,80.46,56,26,2.53,scattered clouds
276,Lasa,IT,46.6166,10.7002,82.02,34,5,4.12,clear sky
